"id","apotacion_infonavit","cesantia_vejez_e","cesantia_vejez_p","rt_clase1","rt_clase2","funcion_ingresos","rt_clase3","rt_clase4","rt_clase5","enf_mat_cuota_fija","dias_min_trabajados","enf_mat_excedente_e","enf_mat_excedente_p","fecha_fin","fecha_inicio","enf_mat_gastos_med_e","enf_mat_gastos_med_p","sbcm_general","guarderia_p","importe_utilidades","inv_vida_e","inv_vida_p","name","sbcm_inv_inf","imss_mes","enf_mat_prestaciones_e","enf_mat_prestaciones_p","retiro_p","salario_minimo","total_dias_trabajados","total_sueldo_percibido","uma","umi","tabla_subsidio_acreditable/ano","tabla_subsidio_acreditable/id","tabla_subsidio_acreditable/s_mensual","tabla_subsidio/c_fija","tabla_subsidio/lim_inf","tabla_subsidio/s_imp_marginal","tabla_subem/lim_inf","tabla_subem/s_mensual","tabla_semanal/no_dias","tabla_semanal/id","tabla_semanal/no_periodo","tabla_semanal/dia_inicio","tabla_semanal/dia_fin","tabla_mensual/no_dias","tabla_mensual/mes","tabla_mensual/dia_inicio","tabla_mensual/dia_fin","tabla_LISR/c_fija","tabla_LISR/lim_inf","tabla_LISR/s_excedente","tabla_ISR_anual/c_fija","tabla_ISR_anual/lim_inf","tabla_ISR_anual/s_excedente","tabla_bimestral/no_dias","tabla_bimestral/dia_inicio","tabla_bimestral/dia_fin","tabla_antiguedades/aguinaldo","tabla_antiguedades/antiguedad","tabla_antiguedades/prima_vac","tabla_antiguedades/vacaciones"
"__export__.tablas_cfdi_9_c374df65","5.0","1.125","3.15","0.55456","1.130658","50.0","2.59844","4.65325","7.58875","20.4","0.0","0.4","1.1","","","0.375","1.5","25.0","1.0","80000.0","0.625","1.75","TABLAS 2021","25.0","30.4","0.25","0.7","2.0","141.7","683.0","102759.62","89.62","84.55","","","","","","","0.01","407.02","28.0","__export__.tablas_periodo_semanal_2_4df552c3","","2021-09-01","2021-09-28","31.0","Enero","2021-01-01","2021-01-31","0.0","0.01","1.92","0.0","0.01","1.92","59.0","2021-01-01","2021-02-28","15.0","1.0","25.0","6.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1768.97","406.83","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2653.39","406.62","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3472.85","392.77","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3537.88","382.46","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4446.16","354.23","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4717.19","324.87","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5335.43","294.63","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6224.68","253.54","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7113.91","217.61","","","","","","","","","","","","","","","","","","","","","",""
